Entry	Entry name	Status	Protein names	Gene names
Q9LJ93	Q9LJ93_ARATH	unreviewed	Uncharacterized protein	
O23338	O23338_ARATH	unreviewed	17.6 kDa class II heat shock protein (At4g14830)	dl3455w HSP1 At4g14830 Dl3455W FCAALL.332
Q9LVL2	PER67_ARATH	reviewed	Peroxidase 67 (Atperox P67) (EC 1.11.1.7) (ATP44)	PER67 P67 At5g58390 MCK7.26
Q8GYC6	Q8GYC6_ARATH	unreviewed	Putative peroxidase	At5g58390/MCK7_26
Q3E7Q9	GLYT6_ARATH	reviewed	Probable glycosyltransferase At5g25310 (EC 2.4.-.-)	At5g25310 F18G18.50
B6IDH2	B6IDH2_ARATH	unreviewed	At4g11350 (Glycosyltransferase) (Transferring glycosyl group transferase (DUF604))	At4g11350 AT4G11350 F8L21.140 F8L21_140
Q9SUS6	Q9SUS6_ARATH	unreviewed	Uncharacterized protein AT4g11350	At4g11350
Q9LMP1	WAK2_ARATH	reviewed	Wall-associated receptor kinase 2 (EC 2.7.11.-)	WAK2 At1g21270 F16F4.5
Q570A9	Q570A9_ARATH	unreviewed	Uncharacterized protein At1g21270 (Fragment)	At1g21270
Q67ZM3	Q67ZM3_ARATH	unreviewed	Putative drought induced protein (Fragment)	At1g72290
Q9C7S6	KTI2_ARATH	reviewed	Kunitz trypsin inhibitor 2 (AtKTI2) (Cysteine protease inhibitor WSCP) (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP)	KTI2 WSCP At1g72290 T9N14.19
Q9LNR7	Q9LNR7_ARATH	unreviewed	F1L3.7	
Q6NLG3	NDK5_ARATH	reviewed	Probable nucleoside diphosphate kinase 5 (EC 2.7.4.6) (Nucleoside diphosphate kinase V)	At1g17410 F28G4.12
Q93ZX7	GAUT4_ARATH	reviewed	Probable galacturonosyltransferase 4 (EC 2.4.1.-) (Like glycosyl transferase 3)	GAUT4 JS36L LGT3 At5g47780 MCA23.10
Q9LUT6	Q9LUT6_ARATH	unreviewed	Wall-associated receptor kinase carboxy-terminal protein	At3g17350
Q9SVG3	BBE21_ARATH	reviewed	Berberine bridge enzyme-like 21 (AtBBE-like 21) (EC 1.1.1.-)	At4g20840 F21C20.190
Q67ZM9	Q67ZM9_ARATH	unreviewed	Uncharacterized protein At3g24040	At3g24040
Q6NKY9	Q6NKY9_ARATH	unreviewed	At3g24040	
Q9LIQ3	Q9LIQ3_ARATH	unreviewed	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)	At3g24040 AT3G24040
Q9FJ25	GDL81_ARATH	reviewed	GDSL esterase/lipase At5g41890 (EC 3.1.1.-)	At5g41890 K16L22.18
O23547	EXLB1_ARATH	reviewed	Expansin-like B1 (At-EXPR1) (AtEXLB1) (AtEXPR1) (Ath-ExpBeta-3.1)	EXLB1 EXPR1 At4g17030 dl4545c
Q0WRS3	Q0WRS3_ARATH	unreviewed	Expansin-like protein	At4g17030
Q93ZG0	Q93ZG0_ARATH	unreviewed	AT4g27020/F10M23_360	
Q9SZ41	Q9SZ41_ARATH	unreviewed	AT4g27020/F10M23_360 (Inositol-1,4,5-trisphosphate 5-phosphatase)	At4g27020 F10M23.360 F10M23_360
Q9SUC0	3HIDH_ARATH	reviewed	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	At4g20930 T13K14.90
Q8W4G6	CRK15_ARATH	reviewed	Cysteine-rich receptor-like protein kinase 15 (Cysteine-rich RLK15) (EC 2.7.11.-)	CRK15 At4g23230 F21P8.120
Q9ZPS9	BRL2_ARATH	reviewed	Serine/threonine-protein kinase BRI1-like 2 (EC 2.7.11.1) (BRASSINOSTEROID INSENSITIVE 1-like protein 2) (Protein VASCULAR HIGHWAY 1)	BRL2 VH1 At2g01950 F14H20.2
C0LGJ7	C0LGJ7_ARATH	unreviewed	Leucine-rich repeat receptor-like protein kinase (Fragment)	LRR-RLK At2g01950
Q9LV36	Q9LV36_ARATH	unreviewed	GPI-anchored protein	At3g18050 At3g18050/ MRC8.3
Q9SAA4	B3GT1_ARATH	reviewed	Probable beta-1,3-galactosyltransferase 1 (EC 2.4.1.-)	B3GALT1 At1g11730 F25C20.12
Q9C8D6	THN24_ARATH	reviewed	Probable thionin-2.4 [Cleaved into: Probable thionin-2.4; Acidic protein]	At1g66100 F15E12.20
Q9FL28	FLS2_ARATH	reviewed	LRR receptor-like serine/threonine-protein kinase FLS2 (EC 2.7.11.1) (Protein FLAGELLIN-SENSING 2) (Protein FLAGELLIN-SENSITIVE 2)	FLS2 At5g46330 MPL12.13 MPL12.8
C0LGU8	C0LGU8_ARATH	unreviewed	Leucine-rich repeat receptor-like protein kinase (Fragment)	LRR-RLK At5g46330
Q9LYT5	PME35_ARATH	reviewed	Probable pectinesterase/pectinesterase inhibitor 35 [Includes: Pectinesterase inhibitor 35 (Pectin methylesterase inhibitor 35); Pectinesterase 35 (PE 35) (EC 3.1.1.11) (Pectin methylesterase 35) (AtPME35)]	PME35 ARATH35 At3g59010 F17J16.60
Q9SD04	SSL7_ARATH	reviewed	Protein STRICTOSIDINE SYNTHASE-LIKE 7 (AtSSL7)	SSL7 At3g51450 F26O13.90
Q9CAZ7	SSL5_ARATH	reviewed	Protein STRICTOSIDINE SYNTHASE-LIKE 5 (AtSSL5) (Protein YELLOW-LEAF-SPECIFIC GENE 2)	SSL5 YLS2 At3g51430 F26O13.70
Q9SD05	SSL6_ARATH	reviewed	Protein STRICTOSIDINE SYNTHASE-LIKE 6 (AtSSL6)	SSL6 At3g51440 F26O13.80
Q84WT8	CYT4_ARATH	reviewed	Cysteine proteinase inhibitor 4 (AtCYS-4)	CYS4 At4g16500 dl4275c FCAALL.171
B9DFR3	PAE9_ARATH	reviewed	Pectin acetylesterase 9 (EC 3.1.1.-)	PAE9 At5g23870 MRO11.9
Q9M292	Q9M292_ARATH	unreviewed	Nicalin	T22K7_10 At3g44330
Q9FKW9	MANA3_ARATH	reviewed	Probable alpha-mannosidase At5g66150 (EC 3.2.1.24)	At5g66150 K2A18.23
Q9SR37	BGL23_ARATH	reviewed	Beta-glucosidase 23 (AtBGLU23) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.1)	BGLU23 PSR3.1 PYK10 At3g09260 F3L24.13
Q9C525	BGL21_ARATH	reviewed	Beta-glucosidase 21 (AtBGLU21) (EC 3.2.1.21) (Protein PHOSPHATE STARVATION-RESPONSE 3.2)	BGLU21 PSR3.2 At1g66270 T27F4.2 T6J19.2
Q9C8Y9	BGL22_ARATH	reviewed	Beta-glucosidase 22 (AtBGLU22) (EC 3.2.1.21)	BGLU22 At1g66280 T27F4.3
Q56X33	Q56X33_ARATH	unreviewed	Leucine-rich repeat protein (Fragment)	At5g21090
Q9FPJ5	LRR1_ARATH	reviewed	Leucine-rich repeat protein 1 (AtLRR1)	LRR1 At5g21090 T10F18.120
Q3E926	Q3E926_ARATH	unreviewed	Putative membrane lipoprotein	At5g26717
Q3E927	Q3E927_ARATH	unreviewed	Putative membrane lipoprotein	At5g26692
Q9SCV5	BGAL7_ARATH	reviewed	Beta-galactosidase 7 (Lactase 7) (EC 3.2.1.23)	BGAL7 At5g20710 T1M15.110
Q93Z04	PLY13_ARATH	reviewed	Probable pectate lyase 13 (EC 4.2.2.2) (Powdery mildew susceptibility protein) (Powdery mildew-resistant mutant 6)	PMR6 At3g54920 F28P10_100
Q8LDW9	XTH9_ARATH	reviewed	Xyloglucan endotransglucosylase/hydrolase protein 9 (At-XTH9) (XTH-9) (EC 2.4.1.207)	XTH9 EXGT-A6 XTR16 At4g03210 F4C21.14
C0SVH2	C0SVH2_ARATH	unreviewed	Xyloglucan endotransglucosylase/hydrolase (EC 2.4.1.207) (Fragment)	At4g03210
Q9LNN2	LECT3_ARATH	reviewed	Lectin-like protein At1g53070	At1g53070 F8L10.7
Q9LZV7	PXC2_ARATH	reviewed	Leucine-rich repeat receptor-like protein kinase PXC2 (Protein PXY/TDR-CORRELATED 2)	PXC2 At5g01890
Q43349	CP29A_ARATH	reviewed	29 kDa ribonucleoprotein, chloroplastic (RNA-binding protein CP29A) (RNA-binding protein cp29)	CP29A RBP29 At3g53460 F4P12_160
Q8LGN0	GLR27_ARATH	reviewed	Glutamate receptor 2.7 (Ligand-gated ion channel 2.7)	GLR2.7 At2g29120 T9I4.20
C0LGP4	Y3475_ARATH	reviewed	Probable LRR receptor-like serine/threonine-protein kinase At3g47570 (EC 2.7.11.1)	At3g47570 F1P2.120
Q9SLK2	ALIS3_ARATH	reviewed	ALA-interacting subunit 3 (AtALIS3)	ALIS3 At1g54320 F20D21.14 F20D21_50
Q9SG94	MAN3_ARATH	reviewed	Mannan endo-1,4-beta-mannosidase 3 (EC 3.2.1.78) (Beta-mannanase 3) (Endo-beta-1,4-mannanase 3) (AtMAN3)	MAN3 At3g10890 T7M13.3
Q8LEY5	Q8LEY5_ARATH	unreviewed	Palmitoyl-protein thioesterase-like	
Q9LVS4	Q9LVS4_ARATH	unreviewed	Alpha/beta-Hydrolases superfamily protein (Palmitoyl-protein thioesterase-like)	MQL5.21 MQL5_21 At5g47350
Q8H784	Q8H784_ARATH	unreviewed	AAI domain-containing protein	
Q8LDP1	Q8LDP1_ARATH	unreviewed	AAI domain-containing protein	
Q9LJ86	Q9LJ86_ARATH	unreviewed	AT3g22600/F16J14_17 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (Xylogen like protein 8)	LTPG5 AtXYP8 At3g22600
O81030	GGLO5_ARATH	reviewed	L-gulonolactone oxidase 5 (AtGulLO5) (EC 1.1.3.8)	GULLO5 At2g46740 F19D11.2
Q8S8L0	Q8S8L0_ARATH	unreviewed	Putative prolylcarboxypeptidase	At2g24280
Q93Z34	Q93Z34_ARATH	unreviewed	Alpha/beta-Hydrolases superfamily protein (At2g24280/F27D4.19)	At2g24280 F27D4.19 F27D4_19
Q84VX1	Q84VX1_ARATH	unreviewed	At4g38650 (Glycosyl hydrolase family 10 protein)	At4g38650 T9A14.8
Q9SZP3	Q9SZP3_ARATH	unreviewed	Uncharacterized protein AT4g38650 (Uncharacterized protein F20M13.210)	F20M13.210 At4g38650
Q9SVF5	Q9SVF5_ARATH	unreviewed	Glycosyl hydrolase family 10 protein	At4g38300 F22I13.70 F22I13_70
Q9C8I6	IOS1_ARATH	reviewed	LRR receptor-like serine/threonine-protein kinase IOS1 (EC 2.7.11.-) (Protein IMPAIRED OOMYCETE SUSCEPTIBILITY 1)	IOS1 At1g51800 F19C24.3
Q8W4Q4	MRF3_ARATH	reviewed	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 3 (EIN2 C-terminus interacting protein 1) (MA3 domain-containing protein 5)	MRF3 ECIP1 MAT5 At4g24800 F6I7.10
Q94C79	Q94C79_ARATH	unreviewed	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	At4g24800 At4g24805
F4JPE9	SUN5_ARATH	reviewed	SUN domain-containing protein 5 (AtSUN5)	SUN5 At4g23950 T19F6.21 T32A16.120
Q9CA75	XXT5_ARATH	reviewed	Probable xyloglucan 6-xylosyltransferase 5 (EC 2.4.2.39) (Putative glycosyltransferase 5) (AtGT5) (EC 2.4.-.-)	XXT5 GT5 At1g74380 F1M20.6
Q9SA75	SBT21_ARATH	reviewed	Subtilisin-like protease SBT2.1 (EC 3.4.21.-) (Subtilase subfamily 2 member 1) (AtSBT2.1)	SBT2.1 At1g30600 T5I8.5
Q9M020	LRK63_ARATH	reviewed	Lectin-domain containing receptor kinase VI.3 (LecRK-VI.3) (EC 2.7.11.1) (Lectin receptor kinase A4.2)	LECRK63 LECRKA4.2 At5g01550 F7A7.70
Q9LUM8	Q9LUM8_ARATH	unreviewed	Blue copper-binding protein-like (Cupredoxin superfamily protein)	At3g17675
Q9SCV4	BGAL8_ARATH	reviewed	Beta-galactosidase 8 (Lactase 8) (EC 3.2.1.23) (Protein AR782)	BGAL8 At2g28470 T17D12.3
Q9SSD1	TMM_ARATH	reviewed	Protein TOO MANY MOUTHS (Receptor-like protein 17) (AtRLP17)	TMM RLP17 At1g80080 F18B13.16
F4IYM4	DEX1_ARATH	reviewed	Protein DEFECTIVE IN EXINE FORMATION 1	DEX1 At3g09090 MZB10.12
Q9XI11	Q9XI11_ARATH	unreviewed	DPP6 amino-terminal domain protein (F8K7.9)	At1g21670 F8K7.9 F8K7_9
O49464	O49464_ARATH	unreviewed	Uncharacterized protein AT4g19460 (Uncharacterized protein F24J7.20)	F24J7.20 At4g19460
Q8L9X0	Q8L9X0_ARATH	unreviewed	Uncharacterized protein	
Q8H7A8	Q8H7A8_ARATH	unreviewed	Uncharacterized protein (Fragment)	
Q07488	BCB1_ARATH	reviewed	Blue copper protein (Blue copper-binding protein) (AtBCB) (Phytocyanin 1) (Stellacyanin)	BCB AWI 32 At5g20230 F5O24.120
Q42406	CP18D_ARATH	reviewed	Peptidyl-prolyl cis-trans isomerase CYP18-4 (PPIase CYP18-4) (EC 5.2.1.8) (Cyclophilin of 18 kDa 4) (Cyclophilin-1) (Rotamase cyclophilin-5)	CYP18-4 43H1 CYP1 CYPA ROC5 At4g34870 T11I11.110
Q67XN2	BGL08_ARATH	reviewed	Beta-glucosidase 8 (AtBGLU8) (EC 3.2.1.21)	BGLU8 At3g62750 F26K9.180
Q8VWF6	SSL3_ARATH	reviewed	Protein STRICTOSIDINE SYNTHASE-LIKE 3 (AtSSL3) (Strictosidine synthase 9) (AtSS9)	SSL3 SS9 At1g08470 T27G7.16
Q9LFP3	GLYT4_ARATH	reviewed	Probable glycosyltransferase At5g11130 (EC 2.4.-.-)	At5g11130/At5g11120 F2I11.10 F2I11.20 T5K6.3
C0Z2F2	C0Z2F2_ARATH	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	At2g21330
Q9SGU1	Q9SGU1_ARATH	unreviewed	T6H22.7 protein	T6H22.7
Q0WPE8	Q0WPE8_ARATH	unreviewed	Putative receptor-like protein kinase	At1g56140
Q9M5J9	PGIP1_ARATH	reviewed	Polygalacturonase inhibitor 1 (Polygalacturonase-inhibiting protein 1) (PGIP-1)	PGIP1 At5g06860 MOJ9_3
Q8L9Q0	Q8L9Q0_ARATH	unreviewed	Polygalacturonase inhibiting protein 1	
Q8GYD4	Q8GYD4_ARATH	unreviewed	Exostosin family protein	AT5G11610.1 At5g11610/F15N18_200
Q9LYD1	Q9LYD1_ARATH	unreviewed	Exostosin family protein	F15N18_200 At5g11610 T22P22.3
Q43735	PER27_ARATH	reviewed	Peroxidase 27 (Atperox P27) (EC 1.11.1.7) (ATP12a) (PRXR7)	PER27 P27 At3g01190 T4P13.12
Q9XGZ4	Q9XGZ4_ARATH	unreviewed	T1N24.4 protein	T1N24.4
F4JNU8	P4H8_ARATH	reviewed	Probable prolyl 4-hydroxylase 8 (AtP4H8) (EC 1.14.11.2)	P4H8 At4g35810
Q9SUW1	GT19_ARATH	reviewed	Probable xyloglucan galactosyltransferase GT19 (EC 2.4.1.-) (Glycosyltransferase 19) (AtGT19)	GT19 At4g22580
Q56ZN1	Q56ZN1_ARATH	unreviewed	Uncharacterized protein At1g26850	At1g26850
B9DFI7	PMT2_ARATH	reviewed	Probable methyltransferase PMT2 (EC 2.1.1.-)	At1g26850 T2P11.4
Q8RWZ5	SD25_ARATH	reviewed	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5 (EC 2.7.11.1) (S-domain-2 (SD2) receptor kinase 5) (SD2-5)	SD25 At4g32300 F10M6.60 F8B4.10
Q8GYA4	CRK10_ARATH	reviewed	Cysteine-rich receptor-like protein kinase 10 (Cysteine-rich RLK10) (EC 2.7.11.-) (Receptor-like protein kinase 4)	CRK10 RLK4 At4g23180 F21P8.70
Q9M146	MGP4_ARATH	reviewed	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4 (EC 2.4.2.-) (Protein MALE GAMETOPHYTE DEFECTIVE 4) (Rhamnogalacturonan xylosyltransferase MGP4)	MGP4 At4g01220 F2N1.35
O81072	GT11_ARATH	reviewed	Probable xyloglucan galactosyltransferase GT11 (EC 2.4.1.-) (Glycosyltransferase 11) (AtGT11)	GT11 At2g29040
Q8L8Y2	Q8L8Y2_ARATH	unreviewed	Wall-associated receptor kinase-like protein	At4g00955
Q84J37	LAC15_ARATH	reviewed	Laccase-15 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 15) (Diphenol oxidase 15) (Protein TRANSPARENT TESTA 10) (Urishiol oxidase 15)	TT10 LAC15 At5g48100 MDN11.18
Q9LYS8	Q9LYS8_ARATH	unreviewed	AT3g59080/F17J16_130 (Eukaryotic aspartyl protease family protein)	F17J16_130 At3g59080
Q4VCM1	LCAT2_ARATH	reviewed	Phospholipid--sterol O-acyltransferase (EC 2.3.1.-) (Lecithin-cholesterol acyltransferase-like 2)	PSAT LCAT2 PSAT1 At1g04010 F21M11.5
Q9ZVA1	EP1L1_ARATH	reviewed	EP1-like glycoprotein 1	At1g78820 F9K20.13
Q9ZVA2	EP1L2_ARATH	reviewed	EP1-like glycoprotein 2 (Curculin-like (Mannose-binding) lectin family protein)	At1g78830 F9K20.12
O22141	GAE4_ARATH	reviewed	UDP-glucuronate 4-epimerase 4 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 4) (AtUGlcAE1)	GAE4 UGlcAE1 At2g45310 F4L23
Q9LZR8	Y5370_ARATH	reviewed	PAN domain-containing protein At5g03700	At5g03700 F17C15.120
O03042	RBL_ARATH	reviewed	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	rbcL AtCg00490
Q85B88	Q85B88_ARATH	unreviewed	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment)	RBCL
Q9MVP0	Q9MVP0_ARATH	unreviewed	Ribulose-1,5-bisphosphate carboxylase (Fragment)	RBCL
P93292	M280_ARATH	reviewed	Putative uncharacterized mitochondrial protein AtMg00280 (ORF110a)	AtMg00280
Q9LYD6	Q9LYD6_ARATH	unreviewed	Uncharacterized protein F15N18_150	F15N18_150
Q9LR71	Q9LR71_ARATH	unreviewed	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (F21B7.14) (Glycosyltransferase) (Putative glycosylation enzyme)	At1g03520 AT1G03520 F21B7.14
B9DFY4	B9DFY4_ARATH	unreviewed	AT2G44920 protein	At2g44920
O22160	TL15A_ARATH	reviewed	Thylakoid lumenal 15 kDa protein 1, chloroplastic (p15)	At2g44920 T13E15.7
C0LGQ5	GSO1_ARATH	reviewed	LRR receptor-like serine/threonine-protein kinase GSO1 (EC 2.7.11.1) (Protein GASSHO 1) (Protein SCHENGEN 3)	GSO1 SGN3 At4g20140 F1C12.60
Q9XF89	CB5_ARATH	reviewed	Chlorophyll a-b binding protein CP26, chloroplastic (LHCB5) (LHCIIc) (Light-harvesting complex II protein 5)	LHCB5 At4g10340 F24G24.140
P93050	RKF3_ARATH	reviewed	Probable LRR receptor-like serine/threonine-protein kinase RKF3 (EC 2.7.11.1) (Receptor-like kinase in flowers 3)	RKF3 AT2324 At2g48010 T9J23.16
O65355	GGH2_ARATH	reviewed	Gamma-glutamyl hydrolase 2 (AtGGH2) (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)	GGH2 GGH GGH1 At1g78680 F9K20.28
O04546	O04546_ARATH	unreviewed	F20P5.28 protein	F20P5.28
A1A6I1	A1A6I1_ARATH	unreviewed	At1g69980 (Structural polyprotein)	At1g69980 F20P5.28 F20P5_28
Q9LMG7	PPA2_ARATH	reviewed	Probable inactive purple acid phosphatase 2	PAP2 At1g13900 F16A14.11
Q9SA00	APRL4_ARATH	reviewed	5'-adenylylsulfate reductase-like 4 (Adenosine 5'-phosphosulfate reductase-like 4) (APR-like 4) (AtAPRL4)	APRL4 At1g34780 F11O6.7 F21H2.1
Q9FI25	BBE27_ARATH	reviewed	Berberine bridge enzyme-like 27 (AtBBE-like 27) (EC 1.1.1.-)	At5g44410 MFC16.3
Q9LJR2	LECT2_ARATH	reviewed	Lectin-like protein LEC (AtLEC) (Ath.lec2)	LEC At3g15356 K7L4.17
Q8GWF8	Q8GWF8_ARATH	unreviewed	Putative zinc finger protein	At5g40710/MNF13_230
Q9FM27	Q9FM27_ARATH	unreviewed	At5g40710 (Zinc finger (C2H2 type) family protein)	MNF13.27 MNF13_27 At5g40710
Q9M092	WAKLM_ARATH	reviewed	Wall-associated receptor kinase-like 17 (EC 2.7.11.-)	WAKL17 At4g31100 F6E21.20
Q0WNT1	Q0WNT1_ARATH	unreviewed	Serine/threonine-specific protein kinase like protein	At4g31100
Q8RWJ4	GDL45_ARATH	reviewed	GDSL esterase/lipase At2g36325 (EC 3.1.1.-) (Extracellular lipase At2g36325)	At2g36325 F2H17.6
Q9C996	GLIP6_ARATH	reviewed	GDSL esterase/lipase 6 (EC 3.1.1.-) (Extracellular lipase 6)	GLIP6 At1g71120 F23N20.11
Q8L8Z6	Q8L8Z6_ARATH	unreviewed	Uncharacterized protein	
Q9C884	PMTI_ARATH	reviewed	Probable methyltransferase PMT18 (EC 2.1.1.-)	At1g33170 T16O9.7 T9L6.6
Q9ZQQ0	SCP26_ARATH	reviewed	Serine carboxypeptidase-like 26 (EC 3.4.16.-)	SCPL26 At2g35780 T20F21.2
A0MFA9	A0MFA9_ARATH	unreviewed	Uncharacterized protein (Fragment)	
Q8L9X6	Q8L9X6_ARATH	unreviewed	Uncharacterized protein	
Q9SZV1	Q9SZV1_ARATH	unreviewed	At4g29980 (Fasciclin-like arabinogalactan protein)	At4g29980 F6G3.10 F6G3_10
Q9LD57	PGKH1_ARATH	reviewed	Phosphoglycerate kinase 1, chloroplastic (EC 2.7.2.3)	PGK1 At3g12780 MBK21.15
Q8GWL1	HSA32_ARATH	reviewed	Protein HEAT-STRESS-ASSOCIATED 32 (Heat-stress-associated 32-kDa protein)	HSA32 At4g21320 T6K22.50
F4JJH4	SBT31_ARATH	reviewed	Subtilisin-like protease SBT3.1 (EC 3.4.21.-) (Subtilase subfamily 3 member 1) (AtSBT3.1)	SBT3.1 At4g21323 T6K22.50
F4JJH5	SBT3C_ARATH	reviewed	Subtilisin-like protease SBT3.12 (EC 3.4.21.-) (Subtilase subfamily 3 member 12) (AtSBT3.12)	SBT3.12 At4g21326 T6K22.50
Q0WPN8	PDLP7_ARATH	reviewed	Plasmodesmata-located protein 7 (PD-located protein 7) (Cysteine-rich repeat secretory protein 60)	PDLP7 CRRSP60 At5g37660 K12B20.12
Q9FKK7	XYLA_ARATH	reviewed	Xylose isomerase (EC 5.3.1.5)	XYLA At5g57655 MUA2.25
Q0WWK6	Q0WWK6_ARATH	unreviewed	Xylose isomerase (EC 5.3.1.5)	At5g57655
Q56Z35	Q56Z35_ARATH	unreviewed	Xylose isomerase (EC 5.3.1.5) (Fragment)	At5g57655
Q8LFA4	Q8LFA4_ARATH	unreviewed	Xylose isomerase (EC 5.3.1.5)	
Q9SU20	Q9SU20_ARATH	unreviewed	Transmembrane 9 superfamily member (Fragment)	T20K18.10
F4JRE0	TMN12_ARATH	reviewed	Transmembrane 9 superfamily member 12 (Endomembrane protein 7) (Transmembrane nine protein 12) (AtTMN12)	TMN12 EMP7 At4g12650 T1P17.240
O64757	O64757_ARATH	unreviewed	Disease resistance family protein / LRR family protein (Putative disease resistance protein)	At2g34930 F19I3.16 F19I3_16
Q8LG18	Q8LG18_ARATH	unreviewed	Uncharacterized protein	
Q9FZI4	Q9FZI4_ARATH	unreviewed	At1g66930 (F1O19.2 protein) (Kinase-like protein)	F1O19.2 At1g66940 At1g66940/T4O24_1 T4O24.1 T4O24_1
B9DGJ4	B9DGJ4_ARATH	unreviewed	AT1G66940 protein (Fragment)	At1g66940
Q56YA4	Q56YA4_ARATH	unreviewed	Uncharacterized protein At1g72480	At1g72480
Q9C9E6	Q9C9E6_ARATH	unreviewed	Lung seven transmembrane receptor family protein	At1g72480 T10D10.5 T10D10_5
B9DGR7	B9DGR7_ARATH	unreviewed	AT1G49750 protein (Fragment)	At1g49750
Q9FXA1	Q9FXA1_ARATH	unreviewed	AT1G49750 protein (At1g49750) (F14J22.4 protein) (Leucine-rich repeat (LRR) family protein)	At1g49750 F14J22.4 F14J22_4
O48704	O48704_ARATH	unreviewed	At2g26370 (MD-2-related lipid recognition domain-containing protein)	At2g26370 T9J22.4 T9J22_4
Q93ZH0	LYM1_ARATH	reviewed	LysM domain-containing GPI-anchored protein 1	LYM1 At1g21880 T26F17.10 T26F17_5
Q94A75	Q94A75_ARATH	unreviewed	AT3g15350/K7L4_15	
Q9LE60	Q9LE60_ARATH	unreviewed	AT3g15350/K7L4_15 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosylation enzyme-like protein) (Glycosyltransferase)	At3g15350 AT3G15350
Q9SFD0	Q9SFD0_ARATH	unreviewed	Pectin lyase-like superfamily protein (Putative polygalacturonase)	F17A17.18 At3g07840
Q1PES3	Q1PES3_ARATH	unreviewed	Polygalacturonase/pectinase	At3g07840
Q67ZD0	Q67ZD0_ARATH	unreviewed	Major surface like glycoprotein (Metalloendopeptidase / zinc ion binding protein)	MFO20.3 MFO20_3 At5g42620
Q9FJV6	Q9FJV6_ARATH	unreviewed	Major surface glycoprotein-like	
Q9FM65	FLA1_ARATH	reviewed	Fasciclin-like arabinogalactan protein 1	FLA1 At5g55730 MDF20.17
Q93YT1	GLR32_ARATH	reviewed	Glutamate receptor 3.2 (AtGluR2) (Ligand-gated ion channel 3.2)	GLR3.2 GLUR2 At4g35290 F23E12.150
Q9FL16	PER63_ARATH	reviewed	Peroxidase 63 (Atperox P63) (EC 1.11.1.7) (ATP26a)	PER63 P63 At5g40150 MSN9.5 MSN9.50
Q24JM5	Q24JM5_ARATH	unreviewed	Peroxidase (EC 1.11.1.7)	
Q9SHE8	PSAF_ARATH	reviewed	Photosystem I reaction center subunit III, chloroplastic (Light-harvesting complex I 17 kDa protein) (PSI-F)	PSAF At1g31330 T19E23.12
O23465	O23465_ARATH	unreviewed	Uncharacterized protein AT4g16170 (Uncharacterized protein dl4125c)	dl4125c At4g16170
O80872	TBL45_ARATH	reviewed	Protein trichome birefringence-like 45	TBL45 At2g30010 F23F1.7
Q9STF7	SBT46_ARATH	reviewed	Subtilisin-like protease SBT4.6 (EC 3.4.21.-) (Subtilase subfamily 4 member 6) (AtSBT4.6)	SBT4.6 At3g46850 T6H20.120
F4JA91	SBT45_ARATH	reviewed	Subtilisin-like protease SBT4.5 (EC 3.4.21.-) (Subtilase subfamily 4 member 5) (AtSBT4.5)	SBT4.5 At3g46840 T6H20.130
O04947	O04947_ARATH	unreviewed	Ascorbate oxidase (EC 1.10.3.3) (Fragment)	
Q94A37	Q94A37_ARATH	unreviewed	AT5g21100/T10F18_130	
Q0WN00	Q0WN00_ARATH	unreviewed	Uncharacterized protein	
O22938	PXC3_ARATH	reviewed	Leucine-rich repeat receptor-like tyrosine-protein kinase PXC3 (EC 2.7.10.1) (Protein PXY/TDR-CORRELATED 3)	PXC3 At2g41820 T11A7.8
Q9C6V8	Q9C6V8_ARATH	unreviewed	Amine oxidase (EC 1.4.3.-)	F27M3_12
Q9C6V9	Q9C6V9_ARATH	unreviewed	Amine oxidase (EC 1.4.3.-)	F27M3_11
O48840	PPA13_ARATH	reviewed	Purple acid phosphatase 13 (EC 3.1.3.2)	PAP13 AT2 At2g32770 F24L7.9
Q56WY6	Q56WY6_ARATH	unreviewed	Serine protease like protein	At2g05920
Q9ZUF6	SBT18_ARATH	reviewed	Subtilisin-like protease SBT1.8 (EC 3.4.21.-) (Subtilase subfamily 1 member 8) (AtSBT1.8)	SBT1.8 At2g05920 T6P5.12
